soggetto;data_ora_scatto;perimetro_px;perimetro_mm;area_pixel;area_mm;lato_pixel
D_R1;2021-09-07 03-41-24;20506;1817.36;307806;483.534;56.417
D_R1;2021-09-07 23-38-31;28839;2534.049;398681;615.638;56.903
D_R1;2021-09-08 22-38-02;35031;3113.756;480613;759.433;56.252
D_R1;2021-09-10 11-33-58;22386;1924.122;311199;459.812;58.172
D_R2;2021-09-01 22-58-57;332;30.127;3597;5.924;55.1
D_R2;2021-09-03 04-43-28;889;76.846;16213;24.229;57.843
D_R2;2021-09-03 20-11-19;1534;135.0;29337;45.442;56.815
D_R2;2021-09-06 00-06-44;10880;960.656;175974;274.382;56.628
D_R2;2021-09-07 03-59-44;20775;1841.657;338065;531.332;56.403
D_R2;2021-09-07 23-26-37;26417;2330.076;438149;681.75;56.687
D_R2;2021-09-08 22-51-14;30123;2679.553;491434;777.72;56.209
D_R2;2021-09-10 11-22-19;34937;3029.517;542389;815.674;57.661
D_R3;2021-09-01 22-38-28;521;46.34;5521;8.735;56.215
D_R3;2021-09-03 04-51-49;798;69.362;14607;22.072;57.524
D_R3;2021-09-03 20-19-47;1392;122.335;26671;41.199;56.893
D_R3;2021-09-06 00-55-00;13039;1142.209;218181;334.849;57.078
D_R3;2021-09-07 04-01-19;26393;2327.015;434494;675.514;56.71
D_R3;2021-09-07 23-20-26;30879;2763.815;487512;781.1;55.863
D_R3;2021-09-08 22-56-20;20574;1827.436;317949;501.688;56.292
D_R3;2021-09-10 11-16-30;24266;2076.004;362031;529.951;58.444
D_R4;2021-09-02 00-30-53;361;31.652;3974;6.11;57.027
D_R4;2021-09-02 21-52-12;996;86.735;16620;25.208;57.416
D_R4;2021-09-03 19-15-54;2234;198.313;42318;66.695;56.325
D_R4;2021-09-05 21-59-21;15317;1333.838;224281;340.159;57.417
D_R4;2021-09-07 02-35-16;12636;1135.616;176807;285.61;55.635
D_R4;2021-09-07 20-34-11;24081;2151.434;311424;497.152;55.965
D_R4;2021-09-08 21-14-52;24220;2182.218;305713;496.354;55.494
D_R4;2021-09-10 09-52-51;31245;0;382632;0;0
D_R5;2021-09-02 00-19-35;349;30.5;5276;8.059;57.213
D_R5;2021-09-02 22-34-30;1025;89.476;19784;30.151;57.278
D_R5;2021-09-03 19-34-39;2479;218.638;47069;73.225;56.692
D_R5;2021-09-05 22-34-37;15128;1330.636;249716;386.395;56.845
D_R5;2021-09-07 02-53-34;29140;2579.218;460233;721.115;56.49
D_R5;2021-09-07 20-53-42;17043;1494.79;271818;418.193;57.008
D_R5;2021-09-08 21-37-23;17447;1550.459;254510;401.989;56.264
D_R5;2021-09-10 10-27-03;17980;1529.952;263288;381.274;58.76
D_R6;2021-09-02 23-16-46;495;43.155;6713;10.205;57.351
D_R6;2021-09-03 19-50-04;1122;98.726;18900;29.266;56.824
D_R6;2021-09-05 22-59-59;8989;781.0;177593;268.124;57.548
D_R6;2021-09-07 03-21-25;19062;1680.715;335342;521.398;56.708
